nome_imagem,minimo,maximo,media,std,var,mediana,assimetria,curtose,amplitude_ao_quadrado,entropia_completa,entropia_dos_bins,energia_media,rms,desvio_absoluto_medio,p925,p850,p150,p75,amplitude_interquartil,uniformidade,media_robusta,rotulo
1.jpg,0.0,247.0,46.28376311188811,54.67695884142315,2989.569828146681,20.0,0.7212960921717799,-1.02450820648929,61009.0,4.918216379380537,1.9135432779554586,5131.756555944056,71.63627960708217,48.70725127981312,142.0,122.0,0.0,0.0,97.0,0.35619400101271376,35.177566977815495,0
10.jpg,0.0,255.0,72.00895979020979,81.56535744753307,6652.907535543839,34.0,0.5781730503069139,-1.2679312995932772,65025.0,5.192222069262727,2.3502177222885923,11838.197825611887,108.80348259872883,74.0912369597459,208.0,185.0,0.0,0.0,149.0,0.28729785600380825,56.19179661428311,0
11.jpg,0.0,254.0,71.82391826923077,83.0273196678093,6893.535811220592,31.0,0.646755297261162,-1.1608869758580322,64516.0,5.220303323621075,2.3833328138456924,12052.211046765735,109.78256258061084,74.70753374761507,214.0,186.0,0.0,0.0,149.0,0.2876885344308363,55.27594468369018,0
12.jpg,0.0,253.0,70.70500983391608,82.0264066420982,6728.331386614851,27.0,0.6437425214478534,-1.1736144557104728,64009.0,5.212850430288792,2.32934953413895,11727.52980222902,108.29372004982109,74.22965563988124,211.0,185.0,0.0,0.0,145.0,0.2996883105984515,54.54379639448568,0
13.jpg,0.0,253.0,62.61024912587413,75.07388279495049,5636.087877909964,29.0,0.7904598354650713,-0.8826518651405384,64009.0,5.171788255182009,2.2918030703246917,9556.131173513986,97.7554662078494,65.9783847138575,198.0,166.0,0.0,0.0,128.0,0.29975114108192935,46.7089613343442,0
14.jpg,0.0,255.0,70.8199847027972,80.22703792463365,6436.377614160606,30.0,0.5590019915269139,-1.3129629193953758,65025.0,5.160675821461814,2.30226909948548,11451.847847465035,107.01330687099168,73.36671538415693,203.0,181.0,0.0,0.0,148.0,0.2954967766847172,55.82680786686838,0
15.jpg,0.0,249.0,72.93471372377623,84.0248884074264,7060.18187188046,28.0,0.6174685363998856,-1.2224029805215175,62001.0,5.221100888496117,2.347921449472637,12379.65433784965,111.26389503270883,76.33329038775294,215.0,189.0,0.0,0.0,151.0,0.29735670584537294,56.75282973185642,0
17.jpg,0.0,255.0,64.52838177447552,76.50662216515464,5853.263235121731,28.0,0.735597009298046,-1.0025671045560913,65025.0,5.191267450382308,2.289536846103308,10017.175289554196,100.08583960558154,68.04198291238883,199.0,170.0,0.0,0.0,135.0,0.3036149882286229,48.60551711580481,0
19.jpg,0.0,255.0,73.65021306818181,84.82172886579477,7194.725687782401,33.0,0.6359394226596522,-1.1798566973259428,65025.0,5.228816174870194,2.3999591067082138,12619.07957277098,112.3346766264584,76.34004513109404,219.0,193.0,0.0,0.0,152.0,0.2846991250646616,56.78088302230314,0
21.jpg,0.0,255.0,53.91053868006993,62.73662288417943,3935.8838509117463,28.0,0.7058714154885384,-1.0022753933516113,65025.0,5.0494842274924165,2.15171203503988,6842.230031687063,82.717773372396,55.77887155854724,162.0,139.0,0.0,0.0,110.0,0.311613350114156,40.89923844776844,0
22.jpg,0.0,255.0,70.25079217657343,79.12012802700521,6259.994659009695,33.5,0.5723868976396885,-1.236602492081178,65025.0,5.186388059884247,2.335695490551509,11195.168460445804,105.80722310147736,71.99874609749885,203.0,175.0,0.0,0.0,142.0,0.28887058802587,54.65653532320199,0
23.jpg,0.0,255.0,75.74409965034965,86.66349503988708,7510.561372528533,33.0,0.6019658763586629,-1.2510190322992116,65025.0,5.224256759268588,2.3978327006944964,13247.73000437063,115.09878367893654,78.4551320057101,221.0,197.0,0.0,0.0,159.0,0.28494424468771773,59.07191998787695,0
24.jpg,0.0,251.0,66.35907451923077,75.55220644238702,5708.135898313067,31.0,0.5998740158977226,-1.2138266713026526,63001.0,5.154164581994443,2.2987353920092057,10111.662669361887,100.55676341928417,68.53706121008648,192.0,166.0,0.0,0.0,137.0,0.293731637219997,51.509791439311265,0
25.jpg,0.0,255.0,61.18935751748252,70.62194037204296,4987.458461912391,23.0,0.6156556015441854,-1.2331217551684925,65025.0,5.061122237453612,2.1449316654336843,8731.595935314685,93.44300902322594,64.28066112073023,180.0,160.0,0.0,0.0,128.0,0.32590910207205653,47.37260016378029,0
26.jpg,0.0,246.0,67.08255026223776,75.9771306435123,5772.524380821335,31.0,0.5922430652216769,-1.199592499442652,60516.0,5.156320612629738,2.293507650325206,10272.592930506993,101.3538007699119,68.97526362029852,196.0,168.0,0.0,0.0,135.0,0.29435351588765807,51.87243597523971,0
28.jpg,0.0,252.0,61.32973666958042,73.49055213405492,5400.861252968244,29.0,0.7979021064463286,-0.8375514442028464,63504.0,5.183501374295428,2.3004803100095375,9162.197852928322,95.71937031201324,64.60122432631323,190.0,161.0,0.0,0.0,127.0,0.3002731604554891,45.69171290821432,0
3.jpg,0.0,254.0,64.06310096153847,75.79291922028726,5744.56660393299,29.0,0.7356907091017739,-0.9774110645559055,64516.0,5.189097381449913,2.313334360651598,9848.647508741258,99.24035221995767,67.35721391551657,195.0,166.0,0.0,0.0,134.0,0.29780025613693295,48.21808139358441,0
30.jpg,0.0,255.0,71.4546820367133,82.7430206981485,6846.407474254231,28.0,0.6502287948467542,-1.1455675573294393,65025.0,5.233130144025398,2.352795913244296,11952.179059222028,109.32602187595609,74.64790672635421,214.0,185.0,0.0,0.0,146.0,0.2972484235862886,54.93576841467111,0
